date,n,rolling_avg
2018-05-16,67,79.71428571428571
2018-05-17,66,78.14285714285714
2018-05-18,62,77.71428571428571
2018-05-19,100,78.14285714285714
2018-05-20,102,78.28571428571429
2018-05-21,60,76
2018-05-22,74,75.85714285714286
2018-05-23,56,74.28571428571429
2018-05-24,67,74.42857142857143
2018-05-25,60,74.14285714285714
2018-05-26,72,70.14285714285714
2018-05-27,82,67.28571428571429
2018-05-28,97,72.57142857142857
2018-05-29,80,73.42857142857143
2018-05-30,66,74.85714285714286
2018-05-31,49,72.28571428571429
2018-06-01,73,74.14285714285714
2018-06-02,73,74.28571428571429
2018-06-03,118,79.42857142857143
2018-06-04,66,75
2018-06-05,78,74.71428571428571
2018-06-06,63,74.28571428571429
2018-06-07,62,76.14285714285714
2018-06-08,76,76.57142857142857
2018-06-09,87,78.57142857142857
2018-06-10,96,75.42857142857143
2018-06-11,61,74.71428571428571
2018-06-12,63,72.57142857142857
2018-06-13,62,72.42857142857143
2018-06-14,70,73.57142857142857
2018-06-15,78,73.85714285714286
2018-06-16,71,71.57142857142857
2018-06-17,97,71.71428571428571
2018-06-18,74,73.57142857142857
2018-06-19,48,71.42857142857143
2018-06-20,71,72.71428571428571
2018-06-21,66,72.14285714285714
2018-06-22,68,70.71428571428571
2018-06-23,83,72.42857142857143
2018-06-24,103,73.28571428571429
2018-06-25,80,74.14285714285714
2018-06-26,75,78
2018-06-27,65,77.14285714285714
2018-06-28,75,78.42857142857143
2018-06-29,93,82
2018-06-30,87,82.57142857142857
2018-07-01,108,83.28571428571429
2018-07-02,67,81.42857142857143
2018-07-03,63,79.71428571428571
2018-07-04,66,79.85714285714286
2018-07-05,80,80.57142857142857
2018-07-06,67,76.85714285714286
2018-07-07,80,75.85714285714286
2018-07-08,108,75.85714285714286
2018-07-09,63,75.28571428571429
2018-07-10,70,76.28571428571429
2018-07-11,60,75.42857142857143
2018-07-12,54,71.71428571428571
2018-07-13,75,72.85714285714286
2018-07-14,85,73.57142857142857
2018-07-15,87,70.57142857142857
2018-07-16,62,70.42857142857143
2018-07-17,73,70.85714285714286
2018-07-18,72,72.57142857142857
2018-07-19,52,72.28571428571429
2018-07-20,76,72.42857142857143
2018-07-21,90,73.14285714285714
2018-07-22,80,72.14285714285714
2018-07-23,58,71.57142857142857
2018-07-24,70,71.14285714285714
2018-07-25,41,66.71428571428571
2018-07-26,66,68.71428571428571
2018-07-27,64,67
2018-07-28,84,66.14285714285714
2018-07-29,74,65.28571428571429
2018-07-30,72,67.28571428571429
2018-07-31,65,66.57142857142857
2018-08-01,67,70.28571428571429
2018-08-02,53,68.42857142857143
2018-08-03,69,69.14285714285714
2018-08-04,75,67.85714285714286
2018-08-05,97,71.14285714285714
2018-08-06,60,69.42857142857143
2018-08-07,52,67.57142857142857
2018-08-08,50,65.14285714285714
2018-08-09,46,64.14285714285714
2018-08-10,74,64.85714285714286
2018-08-11,74,64.71428571428571
2018-08-12,98,64.85714285714286
2018-08-13,71,66.42857142857143
2018-08-14,66,68.42857142857143
2018-08-15,73,71.71428571428571
2018-08-16,65,74.42857142857143
2018-08-17,74,74.42857142857143
2018-08-18,83,75.71428571428571
2018-08-19,93,75
2018-08-20,72,75.14285714285714
2018-08-21,69,75.57142857142857
2018-08-22,63,74.14285714285714
2018-08-23,60,73.42857142857143
2018-08-24,66,72.28571428571429
2018-08-25,89,73.14285714285714
2018-08-26,104,74.71428571428571
2018-08-27,80,75.85714285714286
2018-08-28,63,75
2018-08-29,61,74.71428571428571
2018-08-30,66,75.57142857142857
2018-08-31,78,77.28571428571429
2018-09-01,76,75.42857142857143
2018-09-02,97,74.42857142857143
2018-09-03,90,75.85714285714286
2018-09-04,54,74.57142857142857
2018-09-05,51,73.14285714285714
2018-09-06,47,70.42857142857143
2018-09-07,55,67.14285714285714
2018-09-08,74,66.85714285714286
2018-09-09,85,65.14285714285714
2018-09-10,57,60.42857142857143
2018-09-11,44,59
2018-09-12,57,59.857142857142854
2018-09-13,54,60.857142857142854
2018-09-14,69,62.857142857142854
2018-09-15,81,63.857142857142854
2018-09-16,101,66.14285714285714
2018-09-17,59,66.42857142857143
2018-09-18,73,70.57142857142857
2018-09-19,66,71.85714285714286
2018-09-20,63,73.14285714285714
2018-09-21,67,72.85714285714286
2018-09-22,92,74.42857142857143
2018-09-23,94,73.42857142857143
2018-09-24,58,73.28571428571429
2018-09-25,68,72.57142857142857
2018-09-26,75,73.85714285714286
2018-09-27,59,73.28571428571429
2018-09-28,63,72.71428571428571
2018-09-29,91,72.57142857142857
2018-09-30,78,70.28571428571429
2018-10-01,72,72.28571428571429
2018-10-02,60,71.14285714285714
2018-10-03,52,67.85714285714286
2018-10-04,58,67.71428571428571
2018-10-05,65,68
2018-10-06,76,65.85714285714286
2018-10-07,85,66.85714285714286
2018-10-08,69,66.42857142857143
2018-10-09,64,67
2018-10-10,58,67.85714285714286
2018-10-11,52,67
2018-10-12,53,65.28571428571429
2018-10-13,78,65.57142857142857
2018-10-14,88,66
2018-10-15,70,66.14285714285714
2018-10-16,57,65.14285714285714
2018-10-17,56,64.85714285714286
2018-10-18,52,64.85714285714286
2018-10-19,78,68.42857142857143
2018-10-20,90,70.14285714285714
2018-10-21,98,71.57142857142857
2018-10-22,61,70.28571428571429
2018-10-23,57,70.28571428571429
2018-10-24,59,70.71428571428571
2018-10-25,62,72.14285714285714
2018-10-26,63,70
2018-10-27,70,67.14285714285714
2018-10-28,86,65.42857142857143
2018-10-29,58,65
2018-10-30,50,64
2018-10-31,47,62.285714285714285
2018-11-01,64,62.57142857142857
2018-11-02,62,62.42857142857143
2018-11-03,76,63.285714285714285
2018-11-04,86,63.285714285714285
2018-11-05,69,64.85714285714286
2018-11-06,62,66.57142857142857
2018-11-07,72,70.14285714285714
2018-11-08,51,68.28571428571429
2018-11-09,71,69.57142857142857
2018-11-10,61,67.42857142857143
2018-11-11,82,66.85714285714286
2018-11-12,55,64.85714285714286
2018-11-13,52,63.42857142857143
2018-11-14,43,59.285714285714285
2018-11-15,48,58.857142857142854
2018-11-16,62,57.57142857142857
2018-11-17,68,58.57142857142857
2018-11-18,76,57.714285714285715
2018-11-19,53,57.42857142857143
2018-11-20,70,60
2018-11-21,76,64.71428571428571
2018-11-22,84,69.85714285714286
2018-11-23,68,70.71428571428571
2018-11-24,70,71
2018-11-25,72,70.42857142857143
2018-11-26,52,70.28571428571429
2018-11-27,62,69.14285714285714
2018-11-28,58,66.57142857142857
2018-11-29,58,62.857142857142854
2018-11-30,63,62.142857142857146
2018-12-01,104,67
2018-12-02,95,70.28571428571429
2018-12-03,60,71.42857142857143
2018-12-04,57,70.71428571428571
2018-12-05,65,71.71428571428571
2018-12-06,59,71.85714285714286
2018-12-07,51,70.14285714285714
2018-12-08,60,63.857142857142854
2018-12-09,79,61.57142857142857
2018-12-10,49,60
2018-12-11,52,59.285714285714285
2018-12-12,59,58.42857142857143
2018-12-13,55,57.857142857142854
2018-12-14,55,58.42857142857143
2018-12-15,73,60.285714285714285
2018-12-16,92,62.142857142857146
2018-12-17,62,64
2018-12-18,50,63.714285714285715
2018-12-19,51,62.57142857142857
2018-12-20,56,62.714285714285715
2018-12-21,61,63.57142857142857
2018-12-22,79,64.42857142857143
2018-12-23,65,60.57142857142857
2018-12-24,86,64
2018-12-25,94,70.28571428571429
2018-12-26,66,72.42857142857143
2018-12-27,63,73.42857142857143
2018-12-28,73,75.14285714285714
2018-12-29,69,73.71428571428571
2018-12-30,72,74.71428571428571
2018-12-31,78,73.57142857142857
2019-01-01,95,73.71428571428571
2019-01-02,49,71.28571428571429
2019-01-03,70,72.28571428571429
2019-01-04,55,69.71428571428571
2019-01-05,62,68.71428571428571
2019-01-06,70,68.42857142857143
2019-01-07,57,65.42857142857143
2019-01-08,46,58.42857142857143
2019-01-09,46,58
2019-01-10,60,56.57142857142857
2019-01-11,52,56.142857142857146
2019-01-12,87,59.714285714285715
2019-01-13,75,60.42857142857143
2019-01-14,46,58.857142857142854
2019-01-15,66,61.714285714285715
2019-01-16,57,63.285714285714285
2019-01-17,52,62.142857142857146
2019-01-18,57,62.857142857142854
2019-01-19,62,59.285714285714285
