date,n,rolling_avg
2021-09-12,109,88.57142857142857
2021-09-13,87,86
2021-09-14,77,85.85714285714286
2021-09-15,82,87
2021-09-16,64,86.14285714285714
2021-09-17,97,87.71428571428571
2021-09-18,80,85.14285714285714
2021-09-19,118,86.42857142857143
2021-09-20,96,87.71428571428571
2021-09-21,86,89
2021-09-22,76,88.14285714285714
2021-09-23,60,87.57142857142857
2021-09-24,86,86
2021-09-25,80,86
2021-09-26,107,84.42857142857143
2021-09-27,64,79.85714285714286
2021-09-28,65,76.85714285714286
2021-09-29,75,76.71428571428571
2021-09-30,72,78.42857142857143
2021-10-01,92,79.28571428571429
2021-10-02,94,81.28571428571429
2021-10-03,101,80.42857142857143
2021-10-04,81,82.85714285714286
2021-10-05,75,84.28571428571429
2021-10-06,75,84.28571428571429
2021-10-07,65,83.28571428571429
2021-10-08,81,81.71428571428571
2021-10-09,83,80.14285714285714
2021-10-10,111,81.57142857142857
2021-10-11,93,83.28571428571429
2021-10-12,72,82.85714285714286
2021-10-13,53,79.71428571428571
2021-10-14,81,82
2021-10-15,79,81.71428571428571
2021-10-16,88,82.42857142857143
2021-10-17,83,78.42857142857143
2021-10-18,80,76.57142857142857
2021-10-19,60,74.85714285714286
2021-10-20,73,77.71428571428571
2021-10-21,74,76.71428571428571
2021-10-22,73,75.85714285714286
2021-10-23,78,74.42857142857143
2021-10-24,98,76.57142857142857
2021-10-25,102,79.71428571428571
2021-10-26,90,84
2021-10-27,66,83
2021-10-28,73,82.85714285714286
2021-10-29,82,84.14285714285714
2021-10-30,93,86.28571428571429
2021-10-31,93,85.57142857142857
2021-11-01,84,83
2021-11-02,71,80.28571428571429
2021-11-03,71,81
2021-11-04,79,81.85714285714286
2021-11-05,68,79.85714285714286
2021-11-06,82,78.28571428571429
2021-11-07,90,77.85714285714286
2021-11-08,73,76.28571428571429
2021-11-09,69,76
2021-11-10,73,76.28571428571429
2021-11-11,72,75.28571428571429
2021-11-12,76,76.42857142857143
2021-11-13,82,76.42857142857143
2021-11-14,77,74.57142857142857
2021-11-15,87,76.57142857142857
2021-11-16,85,78.85714285714286
2021-11-17,84,80.42857142857143
2021-11-18,71,80.28571428571429
2021-11-19,81,81
2021-11-20,90,82.14285714285714
2021-11-21,81,82.71428571428571
2021-11-22,77,81.28571428571429
2021-11-23,70,79.14285714285714
2021-11-24,83,79
2021-11-25,105,83.85714285714286
2021-11-26,88,84.85714285714286
2021-11-27,72,82.28571428571429
2021-11-28,90,83.57142857142857
2021-11-29,69,82.42857142857143
2021-11-30,63,81.42857142857143
2021-12-01,99,83.71428571428571
2021-12-02,51,76
2021-12-03,82,75.14285714285714
2021-12-04,101,79.28571428571429
2021-12-05,119,83.42857142857143
2021-12-06,85,85.71428571428571
2021-12-07,75,87.42857142857143
2021-12-08,54,81
2021-12-09,60,82.28571428571429
2021-12-10,70,80.57142857142857
2021-12-11,80,77.57142857142857
2021-12-12,90,73.42857142857143
2021-12-13,67,70.85714285714286
2021-12-14,69,70
2021-12-15,79,73.57142857142857
2021-12-16,62,73.85714285714286
2021-12-17,63,72.85714285714286
2021-12-18,76,72.28571428571429
2021-12-19,94,72.85714285714286
2021-12-20,68,73
2021-12-21,72,73.42857142857143
2021-12-22,73,72.57142857142857
2021-12-23,80,75.14285714285714
2021-12-24,98,80.14285714285714
2021-12-25,124,87
2021-12-26,88,86.14285714285714
2021-12-27,73,86.85714285714286
2021-12-28,74,87.14285714285714
2021-12-29,75,87.42857142857143
2021-12-30,80,87.42857142857143
2021-12-31,94,86.85714285714286
